TOT_POP,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
45591,5488,6285,5970,3526,1824,40398,45591,11379,10640,22154,21303,46252,10871,35023,19101,14219,4201,5394,1213,3422
43144,5209,6772,6712,3988,2121,41461,43144,11841,8588,23272,22779,43073,11885,34969,13923,10316,3252,4012,1095,2687
15029,1900,1908,1645,1152,450,12327,15029,3920,2651,6077,5781,14999,3219,11040,5622,4162,1284,1718,431,1044
106727,13928,14416,12187,8454,4173,97000,106727,22898,21332,50258,48455,103666,22968,83485,42295,29554,8594,11034,2704,7180
8729,859,1115,1122,747,610,8305,8729,1855,2335,3784,3651,9191,2463,6777,3213,2616,597,880,235,596
109826,12722,15503,14703,9002,4565,96049,109826,21320,29812,56986,55009,108586,26110,87114,37762,30577,7048,9424,2584,6377
89786,9488,12599,13134,8115,4398,83217,89786,16968,15927,49592,48560,89280,23734,75264,25559,19719,5701,7281,2129,5071
126348,13728,19283,19347,12505,7715,116185,126348,27750,25891,66109,63440,127751,37339,104986,40351,27506,7942,11098,3350,8300
11481,1157,1566,1525,930,663,9721,11481,2275,2894,5649,5488,11574,2909,8762,4296,3540,610,1042,279,718
9338,904,1130,1072,700,535,5949,9338,2196,1852,3872,3747,9319,2183,6563,3128,2350,555,909,260,665
81643,8241,10266,10147,6425,3961,72157,81643,17475,18811,37848,36486,81816,19330,63354,28704,23568,4546,6719,1920,4574
99696,10748,13917,18652,12140,5845,93094,99696,13945,29692,48870,47176,98838,33612,82625,30103,18260,6179,8799,2857,6567
23920,2871,3419,2996,2220,1197,12781,23920,7372,4205,7627,7057,24625,6134,18725,10741,7584,2161,3575,811,2003
39944,5147,5575,5532,3773,2000,39027,39944,11648,7136,15503,14572,41063,10695,31766,19534,13278,4776,5246,1223,3808
145864,20528,21264,15349,9481,3887,112127,145864,26772,28357,73505,70987,138015,25269,110099,46518,35452,7992,13075,3125,6983
20184,2609,2833,2505,1693,955,18360,20184,5232,4055,9704,9317,20017,4949,15550,8592,6049,1868,2367,559,1573
14307,1711,2096,1827,1059,637,13495,14307,3978,3185,6075,5808,14102,3193,11124,6495,4828,1470,1675,401,1164
21899,2735,3181,3225,1873,837,21499,21899,6056,4216,6316,5904,23011,5498,17160,11012,6950,2891,3203,731,2212
15795,1994,2376,2471,1616,797,15106,15795,3852,3430,8105,7884,15594,4593,12683,5651,4033,1233,1598,448,1175
45668,5657,6548,6093,4082,2185,44271,45668,13939,9519,21152,20339,45669,11750,35728,16559,12362,3878,4812,1197,3139
15392,1524,2403,2942,1992,964,14089,15392,4420,4111,7332,6993,15239,5563,12661,5839,4545,1109,1620,489,1263
726,65,101,106,93,64,684,726,182,139,458,447,680,229,573,275,192,51,81,22,56
13397,1530,2220,2479,1464,829,12780,13397,4180,3520,6673,6426,13566,4514,10970,5144,4191,937,1347,407,1038
8832,1134,1324,1022,602,206,8444,8832,2693,1337,4073,3907,8652,1693,6693,3488,2557,824,955,216,623
16428,1860,2216,2238,1496,778,7434,16428,4196,3535,6106,5749,16547,4371,12732,7258,5424,1365,2344,553,1295
92560,8992,13720,15681,10965,5933,84929,92560,22758,18982,45785,41945,94549,31925,76345,33175,23972,6437,9312,2631,6716
8315,915,1164,1209,894,459,5360,8315,2346,1868,3062,2900,8549,2541,6587,3520,2516,741,1128,285,677
34223,4196,5033,4604,2815,1799,31369,34223,8532,9232,17831,17043,34670,8585,27483,12494,9262,2411,3071,873,2173
6556,917,837,629,392,240,5156,6556,1838,1685,2896,2818,6791,1260,5515,2587,1958,419,547,149,359
9864,1092,1228,966,597,349,9263,9864,1893,1318,4905,4791,9871,1826,7044,3503,2740,548,1063,254,592
82764,8933,10728,9772,5723,3143,46494,82764,21964,11248,31933,29941,83580,17636,60534,32526,24819,7129,10399,2524,5992
49208,5468,4993,4039,3104,1891,46635,49208,6981,7591,20445,19569,48976,9283,35175,17165,13542,2288,5573,1323,2782
26447,3017,3890,3668,1975,1245,25692,26447,8469,5039,11677,11030,26845,6305,20394,9060,6771,1989,2594,670,1716
8591,916,947,768,453,245,8161,8591,1445,1153,3736,3630,8481,1306,5794,2690,2155,382,757,181,407
15876,2329,2132,1942,1228,766,9578,15876,5573,1952,4375,4078,16339,3802,13339,7452,5469,1532,2450,573,1358
228783,23448,27371,24980,11812,7228,107247,228783,34510,37325,117259,113125,220892,39776,188719,76314,62277,13405,22833,6074,12076
7878,813,1057,984,740,491,7588,7878,2161,1682,4133,3989,7840,2090,5881,2929,2299,542,771,205,530
16513,1602,2211,2954,2104,1023,15411,16513,4209,4227,6426,6125,16275,5638,13254,5278,3632,1272,1884,542,1409
8991,977,1313,1456,899,502,7175,8991,2484,2226,3998,3806,9035,2759,7240,3366,2701,653,911,270,682
19779,2450,2904,2400,1650,670,17402,19779,4145,3771,10261,10003,19213,4356,15048,6623,5041,1252,1748,467,1148
705388,90854,103628,83297,48923,32758,550905,705388,95171,104770,393159,381505,694389,155147,557639,183465,132718,27536,45784,13800,30840
23933,2929,3723,3293,2336,1203,22917,23933,7659,4017,11849,11357,23694,6578,19176,9534,6865,2094,2603,699,1875
14523,1837,2034,2098,1522,681,14276,14523,4066,3111,4495,4261,15181,4171,11652,6081,4428,1530,1778,486,1314
11881,1253,1865,2479,1490,704,10360,11881,3848,2632,3666,3414,11669,4182,9958,5728,3913,1504,1770,483,1348
29206,3597,3897,3714,2563,1577,28248,29206,8277,5618,13090,12509,29634,7527,22855,12121,8822,2585,3203,803,2195
20891,2433,2983,2704,1825,1066,17708,20891,6333,3871,8198,7840,20954,5270,16179,8095,6067,1688,2314,593,1610
481857,63744,62840,55948,33233,14964,416497,481857,74791,120819,230353,219230,457474,92850,366501,139527,117647,21744,35011,9872,22273
3343364,417723,412056,341224,197656,118438,2522987,3343364,409272,680074,1592193,1539530,3283665,604412,2620956,893601,631650,133740,251137,70932,139723
84203,10428,11963,11491,7751,4074,80919,84203,21232,20085,35936,33962,86016,22379,66582,37210,27365,8435,10224,2393,6804
359977,36754,44919,53538,50525,25800,295682,359977,97059,79054,135746,129921,343778,119425,293055,152080,110189,33454,47754,12360,32863
13773,1458,1758,1762,1175,895,13141,13773,3440,3663,5917,5611,13626,3789,10241,4805,3728,751,1180,354,862
7720,945,909,665,427,231,7125,7720,1268,1346,4030,3917,7777,1204,5437,2663,2099,406,769,183,416
12287,1283,1436,1229,802,505,11270,12287,2541,1989,5228,5013,12755,2635,8908,4766,3634,784,1437,344,816
42057,5018,5774,5411,3101,1687,39826,42057,11146,8473,17507,16587,41869,9347,32367,16502,12882,3195,3962,1001,2699
13953,1650,1838,1822,1266,661,10738,13953,3610,2664,6525,6338,13797,3407,10740,5428,3791,1107,1521,389,1072
2074,241,299,358,246,111,1940,2074,539,454,1197,1163,1736,537,1659,661,453,140,191,62,150
149960,21106,21403,13064,7148,3015,107329,149960,20648,28786,70084,68014,141159,19771,110872,42149,34259,5834,9946,2572,5584
2042,186,259,243,131,76,797,2042,465,379,758,721,2062,457,1415,849,647,169,257,73,181
5899,570,761,762,476,331,5649,5899,1280,1674,2894,2812,5999,1592,4496,2123,1825,374,564,149,369
187149,25408,25917,21765,13480,6285,165055,187149,38135,39067,98706,95960,175730,36997,143227,62241,44687,12518,16528,4124,10739
28248,3534,3233,2714,1604,982,11415,28248,7000,4791,9073,8570,27496,4778,22041,12530,9852,2228,3684,873,1980
80695,9585,11671,10099,5819,3400,74249,80695,20505,15203,36428,34831,81224,17868,66204,29627,23238,5794,7219,1978,4930
286419,35764,35673,36078,21581,10453,234385,286419,40832,71002,137697,131144,269885,60028,225041,87240,66612,13238,22014,6268,14180
5779,600,700,683,485,281,5344,5779,1348,1030,2566,2450,5895,1379,4243,2252,1693,400,739,181,436
160137,18692,20273,19490,11428,6795,145178,160137,32637,34929,81269,78554,156332,34804,122508,46550,35650,7779,11288,3420,7913
805,78,114,146,83,68,790,805,220,280,562,548,846,289,649,303,236,58,86,25,64
70675,9018,11159,8710,5254,2467,61626,70675,12716,14046,36319,35375,68406,15267,54162,20912,16086,3541,5387,1476,3433
35774,4482,5366,5259,3550,1507,33992,35774,11539,5691,14847,14151,35262,9766,28499,15993,11257,4152,4854,1178,3312
34475,4628,5294,4870,2971,1168,27451,34475,5515,8773,16736,16165,33198,7948,27141,11022,8115,1986,3372,822,1886
70422,9701,9227,7181,4991,1896,62271,70422,14274,13437,36248,35165,63851,12724,52527,20697,14813,4249,5853,1527,3605
62249,6685,8555,11040,8324,3261,41674,62249,13212,14042,25520,24362,61065,20484,50811,27366,19562,4876,8426,2111,4960
